prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,telefon,COASTAL,new_list,kod,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,region,strat_interval,month,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,AREA_NC,MODE2001,MONITOR,TOURN,TURTLE,AGE,GENDER,ART_REEF,REEFCODE,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,fl_reg
,BLUEFISH,201511913wdS:8AM-8PM,201569131741320151104,2015,4,9,9,9,9,291,2,3,C,5,3,,25,3,1,0,0,0,0,,8,1741320151104001,4,6,2,,0,0,,Y,,wd,1741320151104,1,1741320151104001,,,,1,S:8AM-8PM,11,NEW HAVEN,1415,168559,,,1,1,8,1,8,28MAR201612:53,8,8835250101,,,2,8,,,,,,,,,22934.486835,201511913wdS:8AM-8PM,,0,1741320151104001,8
,TAUTOG,201511913wdS:8AM-8PM,201569131741320151104,2015,4,9,9,9,9,291,2,3,C,5,4,0,18,6,1,0,2,0,0,,8,1741320151104002,4,6,1,,0,0,,Y,,wd,1741320151104,1,1741320151104002,2,2,0,1,S:8AM-8PM,11,NEW HAVEN,1557,170479,,,1,1,8,1,1,28MAR201612:53,8,8839010101,,,2,8,,,,,,,,,22934.486835,201511913wdS:8AM-8PM,,0,1741320151104002,8
,,201511913wdS:8AM-8PM,201569131741320151104,2015,4,9,9,9,9,291,2,3,C,5,3,,20,8,1,0,0,0,0,,8,1741320151104003,4,6,2,,0,0,,Y,,wd,1741320151104,1,1741320151104003,,,,1,S:8AM-8PM,11,NEW HAVEN,1608,,,,1,1,8,1,8,28MAR201612:53,8,,,,2,8,,,,,,,,,22934.486835,201511913wdS:8AM-8PM,,0,1741320151104003,8
,,201511913wdS:8AM-8PM,201569131741320151104,2015,4,9,9,9,9,291,2,3,C,5,3,,0,0,1,0,0,0,0,,8,1741320151104004,4,6,2,,0,0,,Y,,wd,1741320151104,1,1741320151104004,,,,1,S:8AM-8PM,11,NEW HAVEN,1609,,,,1,1,8,0,8,28MAR201612:53,8,,,,2,8,,,,,,,,,22934.486835,201511913wdS:8AM-8PM,,0,1741320151104004,8
,,201511913wdS:8AM-8PM,201569131741320151104,2015,4,9,1,9,9,291,2,3,C,5,4.5,0,20,10,1,1,0,0,0,,8,1741320151104005,4,6,2,,0,0,,Y,,wd,1741320151104,1,1741320151104005,2,,,1,S:8AM-8PM,11,FAIRFIELD,1611,,,,1,1,8,1,8,28MAR201612:53,8,,,,2,8,,,,,,,,,22934.486835,201511913wdS:8AM-8PM,,0,1741320151104005,8
,STRIPED BASS,201511913weS:8AM-8PM,201569131741320151111,2015,5,36,71,9,11,754,1,3,C,5,1,,4,0,1,0,0,0,0,,8,1741320151111001,4,6,2,,0,0,,O,,we,1741320151111,1,1741320151111001,,,,1,S:8AM-8PM,11,,1201,167680,,,1,1,8,1,8,28MAR201612:53,8,8835020102,,,1,8,,,,,,,,,2014.2818504,201511913weS:8AM-8PM,,0,1741320151111001,8
BLUEFISH,STRIPED BASS,201511913weS:8AM-8PM,201569131741320151111,2015,4,9,3,9,11,754,1,3,C,5,1,0,20,8,1,1,0,0,0,,8,1741320151111002,4,6,2,,0,0,,Y,,we,1741320151111,1,1741320151111002,2,0,1,1,S:8AM-8PM,11,HARTFORD,1355,167680,168559,,1,1,8,0,8,28MAR201612:53,8,8835020102,8835250101,,1,8,,,,,,,,,2014.2818504,201511913weS:8AM-8PM,,0,1741320151111002,8
,,201511913weS:8AM-8PM,201569131741320151127,2015,4,9,13,9,11,754,1,3,C,5,4,0,8,8,1,1,2,0,0,,8,1741320151127001,4,6,1,,0,0,,Y,,we,1741320151127,1,1741320151127001,2,2,3,1,S:8AM-8PM,11,TOLLAND,1350,,,,1,1,8,1,1,28MAR201612:53,8,,,,1,8,,,,,,,,,3319.9849185,201511913weS:8AM-8PM,,0,1741320151127001,8
,,201511913weS:8AM-8PM,201569131741320151127,2015,4,9,13,9,11,754,1,3,C,5,4,0,10,5,1,0,3,0,0,,8,1741320151127002,4,6,1,,0,0,,Y,,we,1741320151127,1,1741320151127002,2,3,0,1,S:8AM-8PM,11,TOLLAND,1351,,,,1,1,8,1,1,28MAR201612:53,8,,,,1,8,,,,,,,,,3319.9849185,201511913weS:8AM-8PM,,0,1741320151127002,8
,STRIPED BASS,201511913weS:8AM-8PM,201569131741320151127,2015,4,9,9,9,11,754,4,3,C,5,1,,9,4,1,0,0,0,0,,8,1741320151127003,4,6,2,,0,0,,Y,,we,1741320151127,1,1741320151127003,,,,1,S:8AM-8PM,11,NEW HAVEN,1413,167680,,,1,1,8,1,8,28MAR201612:53,8,8835020102,,,4,8,,,,,,,,,10756.997399,201511913weS:8AM-8PM,,0,1741320151127003,8
