prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,19854498208we,10716198508049235,,2,5,,2,1,9,9,Y,20,20,,2,1071619850804004,235,5,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850804,08,we,,,1071619850804004,,,,8,1,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1530,,2859.168514,19854498208we,,0,1071619850804004
,BLUEFISH,19854498208we,10716198508189227,0,2,5,,2,1,9,9,Y,2,4,,1.5,1071619850818003,227,5,3,1,0,0,,,,4,9,9,4,1,4,1985,1071619850818,08,we,,,1071619850818003,1,0,2,8,1,,,23APR93:11:00,8,8,1,,,,8835250101,,1,8,8,1530,,2859.168514,19854498208we,,0,1071619850818003
,BLUEFISH,19854498108we,10716198508189231,0,2,5,,1,1,9,9,Y,20,20,,3,1071619850818004,231,1,3,0,1,0,,,,4,9,9,4,1,4,1985,1071619850818,08,we,,,1071619850818004,1,1,0,8,1,,,23APR93:11:00,8,1,1,,,,8835250101,,1,8,8,1630,,7602.7437089,19854498108we,,0,1071619850818004
,,19854498108wd,10716198508069291,0,2,5,,1,1,9,5,O,0,1,,2,1071619850806003,291,2,3,0,1,0,,,,4,9,25,4,1,4,1985,1071619850806,08,wd,,,1071619850806003,1,1,0,8,1,,,23APR93:11:00,8,1,1,,,,,,1,8,8,1530,,9445.4103533,19854498108wd,,0,1071619850806003
,,19854498107we,1071119850728168,,3,5,,2,1,1,1,Y,20,20,,2.5,1071119850728004,68,4,3,0,0,0,,,,4,9,9,4,1,4,1985,1071119850728,07,we,,,1071119850728004,,,,8,9,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1345,,7602.7437089,19854498107we,,0,1071119850728004
,,19854498107wd,10716198507089241,,2,5,,2,1,9,9,Y,20,50,,3,1071619850708001,241,1,3,0,0,0,,,,4,9,9,4,2,4,1985,1071619850708,07,wd,,,1071619850708001,,,,8,2,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1655,,15139.113116,19854498107wd,,0,1071619850708001
,WEAKFISH,19854498107wd,10716198507179291,,2,5,,2,1,9,9,Y,30,200,,4,1071619850717009,291,2,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850717,07,wd,,,1071619850717009,,,,8,2,,,23APR93:11:00,8,8,1,,,,8835440104,,1,8,8,1745,,5693.3756035,19854498107wd,,0,1071619850717009
,,19854498107wd,10716198507179291,0,2,5,,2,1,9,9,Y,3,3,,3,1071619850717003,291,2,3,1,0,0,,,,4,9,9,4,1,4,1985,1071619850717,07,wd,,,1071619850717003,1,,,8,1,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1605,,5693.3756035,19854498107wd,,0,1071619850717003
,BLUEFISH,19854498208wd,10716198508199803,,3,5,,2,1,9,9,Y,2,22,,0.5,1071619850819002,803,5,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850819,08,wd,,,1071619850819002,,,,8,1,,,23APR93:11:00,8,8,1,,,,8835250101,,1,8,8,1530,,15139.113116,19854498208wd,,0,1071619850819002
,,19854498208we,10716198508049235,,2,5,,2,1,9,9,Y,2,15,,5,1071619850804006,235,5,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850804,08,we,,,1071619850804006,,,,8,1,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1550,,2859.168514,19854498208we,,0,1071619850804006
,,19854498208we,10716198508049235,,2,5,,2,1,9,9,Y,10,30,,5,1071619850804007,235,5,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850804,08,we,,,1071619850804007,,,,8,1,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1600,,2859.168514,19854498208we,,0,1071619850804007
,BLUEFISH,19854498208wd,10716198508099235,,2,5,,2,1,9,9,Y,10,20,,2,1071619850809008,235,5,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850809,08,wd,,,1071619850809008,,,,8,1,,,23APR93:11:00,8,8,1,,,,8835250101,,1,8,8,2040,,5693.3756035,19854498208wd,,0,1071619850809008
,BLUEFISH,19854498108we,10716198508189231,,2,5,,2,1,9,9,Y,40,40,,3,1071619850818007,231,1,3,0,0,0,,,,4,9,9,4,1,4,1985,1071619850818,08,we,,,1071619850818007,,,,8,1,,,23APR93:11:00,8,8,1,,,,8835250101,,1,8,8,1745,,7602.7437089,19854498108we,,0,1071619850818007
,,19854498208we,10716198508049235,0,2,5,,2,1,9,119,O,1,1,,3,1071619850804002,235,5,3,1,0,0,,,,5,9,36,4,1,4,1985,1071619850804,08,we,,,1071619850804002,1,,,8,2,,,23APR93:11:00,8,8,1,,,,,,1,8,8,1510,,4743.4108979,19854498208we,,0,1071619850804002
BLUEFISH,LEFTEYE FLOUNDER FAMILY,19854498107wd,10716198507179291,0,2,5,,1,1,9,9,Y,2,30,,3,1071619850717002,291,2,3,1,1,0,,,,4,9,9,4,1,4,1985,1071619850717,07,wd,,,1071619850717002,1,,,8,1,,,23APR93:11:00,8,1,1,,,,8857030000,8835250101,1,8,8,1600,,5693.3756035,19854498107wd,,0,1071619850717002
,BLUEFISH,19854498208wd,10716198508099235,0,2,5,,1,1,9,9,Y,2,2,,4,1071619850809010,235,5,3,0,1,0,,,,4,9,9,4,1,4,1985,1071619850809,08,wd,,,1071619850809010,1,1,0,8,1,,,23APR93:11:00,8,1,1,,,,8835250101,,1,8,8,2035,,5693.3756035,19854498208wd,,0,1071619850809010
ATLANTIC MACKEREL,BLUEFISH,19854498107we,1071119850720127,0,4,5,,3,0,1,1,Y,15,45,,1.5,1071119850720003,27,4,3,1,0,1,,,,4,9,9,4,1,4,1985,1071119850720,07,we,,,1071119850720001,1,,,8,9,,,23APR93:11:00,8,8,1,,,,8835250101,8850030302,1,8,8,1330,,2859.168514,19854498107we,,0,1071119850720001
,BLUEFISH,19854498108we,106391985083111678,0,3,5,,2,1,11,11,Y,1,1,,3.5,1063919850831004,678,2,3,2,0,0,,,,4,9,9,4,1,4,1985,1063919850831,08,we,,,1063919850831004,1,0,24,8,1,,,23APR93:11:00,8,8,1,,,,8835250101,,1,8,8,1445,,7602.7437089,19854498108we,,0,1063919850831004
,BLUEFISH,19854498208wd,10716198508059293,0,3,5,,1,2,9,3,Y,0,1,,1,1071619850805006,293,5,3,0,7,0,,,,4,9,9,4,1,4,1985,1071619850805,08,wd,,,1071619850805006,1,7,0,8,1,,,23APR93:11:00,8,2,1,,,,8835250101,,1,8,2,1645,,15139.113116,19854498208wd,,0,1071619850805006
,BLUEFISH,19854498208we,10716198508049235,0,2,5,,1,1,9,9,Y,25,105,,4,1071619850804010,235,5,3,0,3,0,,,,4,9,9,4,1,4,1985,1071619850804,08,we,,,1071619850804010,1,3,0,8,1,,,23APR93:11:00,8,2,1,,,,8835250101,,1,8,1,1800,,2859.168514,19854498208we,,0,1071619850804010
,BLUEFISH,19854498208wd,10716198508099235,0,2,5,,1,1,9,9,Y,20,50,,4,1071619850809003,235,5,3,0,1,0,,,,4,9,9,4,1,4,1985,1071619850809,08,wd,,,1071619850809003,1,1,0,8,1,,,23APR93:11:00,8,1,1,,,,8835250101,,1,8,8,1630,,5693.3756035,19854498208wd,,0,1071619850809003
