prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
SAILFISH,KING MACKEREL,198916128502we,1062919890212998,0,1,2,,2,1,99,127,Y,2,145,,3.5,1062919890212002,8,7,5,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212002,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850030501,8850060101,1,1,8,1125,32019,2,25,297.79717146,198916128502we,,0,1062919890212002
SAILFISH,KING MACKEREL,198916128502we,1062919890212998,0,1,2,,2,1,99,127,Y,12,50,,3.5,1062919890212003,8,7,5,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212003,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850030501,8850060101,1,1,8,1135,32019,2,27,297.79717146,198916128502we,,0,1062919890212003
,,198916128502we,1062919890204998,0,1,2,,2,1,99,183,O,3,6,,3.5,1062919890204001,8,7,5,0,0,0,,,,6,12,37,6,1,1,1989,1062919890204,02,we,,,1062919890204001,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1145,37524,2,45,261.0864422,198916128502we,,0,1062919890204001
,SAILFISH,198916128502we,1062919890218998,0,1,2,,2,1,99,67,O,0,1,,3,1062919890218002,8,7,5,0,0,0,,,,6,12,13,6,1,1,1989,1062919890218,02,we,,,1062919890218002,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1115,30144,2,56,261.0864422,198916128502we,,0,1062919890218002
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,99,Y,0,1,,4,1062919890124017,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890124,01,wd,,,1062919890124017,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1645,33412,2,38,893.57234045,198916128501wd,,0,1062919890124017
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,45,O,0,1,,4,1062919890124015,8,7,5,1,0,0,,,,5,12,42,6,1,1,1989,1062919890124,01,wd,,,1062919890124015,1,0,2,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1620,39061,2,50,783.41786147,198916128501wd,,0,1062919890124015
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,45,O,0,1,,4,1062919890124014,8,7,5,0,0,0,,,,5,12,42,6,1,1,1989,1062919890124,01,wd,,,1062919890124014,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1615,39061,2,53,783.41786147,198916128501wd,,0,1062919890124014
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,85,Y,1,10,,4,1062919890108011,83,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890108,01,we,,,1062919890108011,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1310,34957,2,28,1024.8415095,198916128501we,,0,1062919890108011
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,73,O,0,1,,4,1062919890108013,83,7,5,0,0,0,,,,7,12,1,6,1,1,1989,1062919890108,01,we,,,1062919890108013,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1325,35243,2,61,898.50491935,198916128501we,,0,1062919890108013
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,103,O,4,35,,3.5,1062919890124012,8,7,5,1,0,0,,,,7,12,12,6,1,1,1989,1062919890124,01,wd,,,1062919890124012,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1545,34169,2,28,783.41786147,198916128501wd,,0,1062919890124012
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,103,O,4,35,,3.5,1062919890124011,8,7,5,2,0,0,,,,7,12,12,6,1,1,1989,1062919890124,01,wd,,,1062919890124011,1,0,2,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1535,34169,2,28,783.41786147,198916128501wd,,0,1062919890124011
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,99,O,12,30,,3.5,1062919890124005,8,7,5,2,0,0,,,,,12,26,6,1,1,1989,1062919890124,01,wd,,,1062919890124005,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1330,38064,2,36,783.41786147,198916128501wd,,0,1062919890124005
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,99,O,12,30,,3.5,1062919890124004,8,7,5,1,0,0,,,,,12,26,6,1,1,1989,1062919890124,01,wd,,,1062919890124004,1,0,1,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1320,38064,2,36,783.41786147,198916128501wd,,0,1062919890124004
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,1,1,99,71,O,1,10,,3.5,1062919890124001,8,7,5,0,2,0,,,,5,12,42,6,1,1,1989,1062919890124,01,wd,,,1062919890124001,1,2,0,8,1,,,12JUN91:15:13,2,1,1,,,,8850060101,,1,1,8,1200,37543,2,50,783.41786147,198916128501wd,,0,1062919890124001
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,85,Y,2,15,,5,1062919890108006,83,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890108,01,we,,,1062919890108006,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1150,33494,2,21,1024.8415095,198916128501we,,0,1062919890108006
,,198916128501we,10629198901088583,0,1,2,,2,1,85,161,O,0,1,,5,1062919890108007,83,7,5,0,0,0,,,,,12,19,6,1,1,1989,1062919890108,01,we,,,1062919890108007,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1200,30503,2,67,898.50491935,198916128501we,,0,1062919890108007
,,198916128502wd,10389198902219909,0,1,2,,2,1,9,93,O,0,0,,1.5,1038919890221020,909,7,5,0,0,0,,,,,12,40,6,2,1,1989,1038919890221,02,wd,,,1038919890221020,,,,8,9,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1630,99998,2,45,7816.8371719,198916128502wd,,0,1038919890221020
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,85,Y,1,10,,4,1062919890108012,83,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890108,01,we,,,1062919890108012,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1315,34957,2,34,1024.8415095,198916128501we,,0,1062919890108012
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,125,O,0,1,,3.5,1062919890124003,8,7,5,2,0,0,,,,,12,26,6,1,1,1989,1062919890124,01,wd,,,1062919890124003,1,0,1,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1250,38063,2,47,783.41786147,198916128501wd,,0,1062919890124003
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,73,O,0,1,,4,1062919890108014,83,7,5,0,0,0,,,,7,12,1,6,1,1,1989,1062919890108,01,we,,,1062919890108014,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1330,35243,2,22,898.50491935,198916128501we,,0,1062919890108014
,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,85,Y,1,10,,5,1062919890108005,83,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890108,01,we,,,1062919890108005,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1135,33494,2,43,1024.8415095,198916128501we,,0,1062919890108005
,,198916128502wd,10389198902219909,0,1,2,,2,1,9,93,O,0,0,,1.5,1038919890221019,909,7,5,0,0,0,,,,,12,40,6,2,1,1989,1038919890221,02,wd,,,1038919890221019,,,,8,9,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1625,99998,2,60,7816.8371719,198916128502wd,,0,1038919890221019
,,198916128501we,10629198901088583,0,1,2,,2,1,85,127,O,20,20,,5,1062919890108008,83,7,5,0,0,0,,,,,12,55,6,1,1,1989,1062919890108,01,we,,,1062919890108008,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1215,33191,2,65,898.50491935,198916128501we,,0,1062919890108008
LITTLE TUNNY,SAILFISH,198916128501we,10629198901088583,0,1,2,,2,1,85,85,Y,4,20,,5,1062919890108004,83,7,5,2,0,0,,,,6,12,12,6,1,1,1989,1062919890108,01,we,,,1062919890108004,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8850030102,1,1,8,1125,33494,2,55,1024.8415095,198916128501we,,0,1062919890108004
,SAILFISH,198916128502we,1062919890212998,0,1,2,,2,1,99,95,O,3,3,,3.5,1062919890212007,8,7,5,0,0,0,,,,,12,39,6,1,1,1989,1062919890212,02,we,,,1062919890212007,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1215,33537,2,43,261.0864422,198916128502we,,0,1062919890212007
SAILFISH,KING MACKEREL,198916128502we,1062919890212998,0,1,2,,2,1,99,127,Y,2,45,,3.5,1062919890212005,8,7,5,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212005,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850030501,8850060101,1,1,8,1150,32019,2,40,297.79717146,198916128502we,,0,1062919890212005
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,99,Y,3,12,,3.5,1062919890124010,8,7,5,2,0,0,,,,6,12,12,6,1,1,1989,1062919890124,01,wd,,,1062919890124010,1,0,2,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1515,33408,2,37,893.57234045,198916128501wd,,0,1062919890124010
,,198916128502wd,10389198902219909,0,1,2,,2,1,9,93,O,0,0,,1.5,1038919890221018,909,7,5,0,0,0,,,,,12,40,6,2,1,1989,1038919890221,02,wd,,,1038919890221018,,,,8,9,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1620,99998,2,64,7816.8371719,198916128502wd,,0,1038919890221018
DOLPHIN,SAILFISH,198916128502we,1062919890218998,0,1,2,,1,1,99,125,O,2,4,,4,1062919890218007,8,7,5,1,1,0,,,,,12,26,6,1,1,1989,1062919890218,02,we,,,1062919890218007,1,1,1,8,1,,,12JUN91:15:13,2,1,1,,,,8850060101,8835290101,1,1,8,1245,38095,2,46,261.0864422,198916128502we,,0,1062919890218007
DOLPHIN,SAILFISH,198916128502we,1062919890218998,0,1,2,,2,1,99,125,O,0,1,,4,1062919890218009,8,7,5,0,0,0,,,,,12,26,6,1,1,1989,1062919890218,02,we,,,1062919890218009,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8835290101,1,1,8,1305,38095,2,48,261.0864422,198916128502we,,0,1062919890218009
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,45,O,0,1,,4,1062919890124016,8,7,5,0,0,0,,,,7,12,12,6,1,1,1989,1062919890124,01,wd,,,1062919890124016,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1630,39061,2,38,783.41786147,198916128501wd,,0,1062919890124016
,,198916128502we,1062919890204998,0,1,2,,2,1,99,99,Y,2,5,,3.5,1062919890204002,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890204,02,we,,,1062919890204002,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1155,33409,2,26,297.79717146,198916128502we,,0,1062919890204002
,SAILFISH,198916128501wd,1062919890124998,0,1,2,,2,1,99,99,Y,1,40,,4,1062919890124013,8,7,5,0,0,0,,,,6,12,12,6,9,1,1989,1062919890124,01,wd,,,1062919890124013,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1600,33405,2,54,893.57234045,198916128501wd,,0,1062919890124013
,SAILFISH,198916128502we,1062919890219998,0,1,2,,2,1,99,85,Y,2,10,,4,1062919890219004,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890219,02,we,,,1062919890219004,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1200,33469,2,28,297.79717146,198916128502we,,0,1062919890219004
DOLPHIN,SAILFISH,198916128502we,1062919890218998,0,1,2,,2,1,99,3,O,2,3,,4,1062919890218016,8,7,5,1,0,0,,,,5,12,34,6,1,1,1989,1062919890218,02,we,,,1062919890218016,1,0,2,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8835290101,1,1,8,1600,37675,2,53,261.0864422,198916128502we,,0,1062919890218016
,DOLPHIN,198916128502we,1062919890219998,0,1,2,,2,1,99,125,O,2,4,,4,1062919890219011,8,7,5,0,0,0,,,,,12,26,6,1,1,1989,1062919890219,02,we,,,1062919890219011,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8835290101,,1,1,8,1410,38024,2,44,261.0864422,198916128502we,,0,1062919890219011
DOLPHIN,SAILFISH,198916128502we,1062919890219998,0,1,2,,2,1,99,117,Y,1,12,,4,1062919890219018,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890219,02,we,,,1062919890219018,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8835290101,1,1,8,1555,32750,2,39,297.79717146,198916128502we,,0,1062919890219018
,,198916128502we,1062919890219998,0,1,2,,2,1,99,111,O,1,2,,3.5,1062919890219020,8,7,5,2,0,0,,,,5,12,36,6,1,1,1989,1062919890219,02,we,,,1062919890219020,1,0,1,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1620,32443,2,33,261.0864422,198916128502we,,0,1062919890219020
,SAILFISH,198916128502we,1062919890212998,0,1,2,,2,1,99,95,O,3,3,,3.5,1062919890212006,8,7,5,0,0,0,,,,,12,39,6,1,1,1989,1062919890212,02,we,,,1062919890212006,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1210,33537,2,42,261.0864422,198916128502we,,0,1062919890212006
DOLPHIN,SAILFISH,198916128502we,1062919890218998,0,1,2,,2,1,99,121,O,0,1,,3,1062919890218004,8,7,5,1,0,0,,,,6,12,13,6,1,1,1989,1062919890218,02,we,,,1062919890218004,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8835290101,1,1,8,1150,30328,2,57,261.0864422,198916128502we,,0,1062919890218004
,SAILFISH,198916128502we,1062919890218998,0,1,2,,2,1,99,113,O,0,1,,3,1062919890218003,8,7,5,0,0,0,,,,6,12,13,6,1,1,1989,1062919890218,02,we,,,1062919890218003,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1135,30214,2,57,261.0864422,198916128502we,,0,1062919890218003
SAILFISH,KING MACKEREL,198916128502we,1062919890212998,0,1,2,,2,1,99,127,Y,4,5,,3.5,1062919890212004,8,7,5,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212004,1,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850030501,8850060101,1,1,8,1140,32019,2,39,297.79717146,198916128502we,,0,1062919890212004
SAILFISH,DOLPHIN,198916128502we,1062919890218998,0,1,2,,1,1,99,13,O,0,1,,3,1062919890218005,8,7,5,0,1,0,,,,4,12,25,6,1,1,1989,1062919890218,02,we,,,1062919890218005,1,1,0,8,1,,,12JUN91:15:13,2,1,1,,,,8835290101,8850060101,1,1,8,1210,31106,2,50,261.0864422,198916128502we,,0,1062919890218005
,,198916128502we,1062919890204998,0,1,2,,2,1,99,99,Y,2,5,,3.5,1062919890204003,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890204,02,we,,,1062919890204003,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1220,33409,2,28,297.79717146,198916128502we,,0,1062919890204003
,SAILFISH,198916128502we,1062919890212998,0,1,2,,2,1,99,95,O,8,11,,3.5,1062919890212008,8,7,5,0,0,0,,,,,12,39,6,1,1,1989,1062919890212,02,we,,,1062919890212008,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1230,33537,2,50,261.0864422,198916128502we,,0,1062919890212008
DOLPHIN,SAILFISH,198916128502we,1062919890219998,0,1,2,,2,1,99,117,Y,1,12,,3.5,1062919890219016,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890219,02,we,,,1062919890219016,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,8835290101,1,1,8,1535,32750,2,41,297.79717146,198916128502we,,0,1062919890219016
,SAILFISH,198916128502we,1062919890204998,0,1,2,,2,1,99,998,O,0,1,,3,1062919890204011,8,7,5,0,0,0,,,,,12,99,6,1,1,1989,1062919890204,02,we,,,1062919890204011,,,,8,1,,,12JUN91:15:13,2,8,1,,,,8850060101,,1,1,8,1500,36201,2,31,261.0864422,198916128502we,,0,1062919890204011
,,198916128502we,1062919890204998,0,1,2,,2,1,99,99,Y,2,6,,3.5,1062919890204004,8,7,5,0,0,0,,,,6,12,12,6,1,1,1989,1062919890204,02,we,,,1062919890204004,,,,8,1,,,12JUN91:15:13,2,8,1,,,,,,1,1,8,1240,33405,2,28,297.79717146,198916128502we,,0,1062919890204004
,,198916128502wd,112141989020286191,0,1,2,,1,1,86,998,O,0,1,,4,1121419890202003,191,7,5,0,1,0,,,,,12,99,6,2,1,1989,1121419890202,02,wd,,,1121419890202003,1,1,0,8,9,,,12JUN91:15:13,2,1,1,,,,,,1,1,8,1210,99997,2,39,783.41786147,198916128502wd,,0,1121419890202003
,,198916128701we,106291989011699278,0,1,1,,2,1,99,99,Y,16,104,,1,1062919890116001,278,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1062919890116,01,we,,,1062919890116001,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1150,33461,2,38,2701.6873242,198916128701we,,0,1062919890116001
,DOLPHIN,198916128701we,112901989012885977,0,1,1,,2,1,85,85,Y,10,50,,2,1129019890128001,977,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1129019890128,01,we,,,1129019890128001,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835290101,,1,1,8,1350,34957,2,46,4989.1910875,198916128701we,,0,1129019890128001
DOLPHIN,KING MACKEREL,198916128701we,106291989011699278,0,1,1,,2,1,99,27,O,10,10,,5,1062919890116003,278,8,7,1,0,0,,,,4,12,25,6,1,1,1989,1062919890116,01,we,,,1062919890116003,1,,,8,1,,,12JUN91:15:13,1,8,1,,,,8850030501,8835290101,1,1,8,1220,31504,2,32,2103.0627578,198916128701we,,0,1062919890116003
,JACK FAMILY,198916128701we,1129019890114111288,0,1,1,,2,1,111,111,Y,1,,,1,1129019890114010,288,8,7,0,0,0,,,,6,12,12,6,2,1,1989,1129019890114,01,we,,,1129019890114010,,,,8,9,,,12JUN91:15:13,1,8,1,,,,8835280000,,1,1,8,1400,34953,2,12,2701.6873242,198916128701we,,0,1129019890114010
,JACK FAMILY,198916128701we,1129019890114111288,0,1,1,,2,1,111,111,Y,4,10,,3,1129019890114008,288,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1129019890114,01,we,,,1129019890114008,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835280000,,1,1,8,1330,34953,2,62,2701.6873242,198916128701we,,0,1129019890114008
,,198916128701we,106291989011699278,0,1,1,,2,1,99,99,Y,4,12,,1.5,1062919890116005,278,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890116,01,we,,,1062919890116005,1,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1240,33463,2,25,2701.6873242,198916128701we,,0,1062919890116005
,NURSE SHARK,198916128701we,1129019890114111288,0,1,1,,2,1,111,111,Y,6,50,,5,1129019890114007,288,8,7,0,0,0,,,,6,12,12,6,2,1,1989,1129019890114,01,we,,,1129019890114007,,,,8,9,,,12JUN91:15:13,1,8,1,,,,8707020101,,1,1,8,1310,34947,2,30,2701.6873242,198916128701we,,0,1129019890114007
,SILVER JENNY,198916128701we,1129019890114111288,0,1,1,,2,1,111,29,O,2,25,,4,1129019890114003,288,8,7,0,0,0,,,,5,12,34,6,8,1,1989,1129019890114,01,we,,,1129019890114003,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835390102,,2,1,8,1245,38008,2,76,2103.0627578,198916128701we,,0,1129019890114003
GAG,MUTTON SNAPPER,198916128701we,106291989011699278,0,1,1,,2,1,99,101,O,15,20,,3,1062919890116012,278,8,7,1,0,0,,,,5,12,42,6,1,1,1989,1062919890116,01,we,,,1062919890116012,1,0,6,8,1,,,12JUN91:15:13,1,8,1,,,,8835360103,8835020501,1,1,8,1435,39149,2,26,2103.0627578,198916128701we,,0,1062919890116012
GAG,MUTTON SNAPPER,198916128701we,106291989011699278,0,1,1,,2,1,99,99,Y,2,10,,3,1062919890116020,278,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890116,01,we,,,1062919890116020,1,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835360103,8835020501,1,1,8,1700,33405,2,18,2701.6873242,198916128701we,,0,1062919890116020
,,198916128702wd,112141989020286191,0,1,1,,1,1,86,86,Y,2,80,,4.5,1121419890202008,191,8,7,0,2,0,,,,6,12,12,6,1,1,1989,1121419890202,02,wd,,,1121419890202008,1,2,0,8,1,,MIAMI-DADE,12JUN91:15:13,1,1,1,,,,,,1,1,8,1345,33055,2,24,2694.9807564,198916128702wd,,0,1121419890202008
DOLPHIN,KING MACKEREL,198916128701we,106291989011699278,0,1,1,,2,1,99,9,O,4,4,,4,1062919890116010,278,8,7,0,0,0,,,,4,12,9,6,1,1,1989,1062919890116,01,we,,,1062919890116010,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8850030501,8835290101,1,1,8,1400,36433,2,34,2103.0627578,198916128701we,,0,1062919890116010
,SNAPPER FAMILY,198916128702wd,112141989022186296,0,1,1,,1,2,86,998,O,14,15,,3,1121419890221007,296,8,7,0,3,0,,,,,12,99,6,1,1,1989,1121419890221,02,wd,,,1121419890221007,1,3,0,8,1,,,12JUN91:15:13,1,2,1,,,,8835360000,,1,1,2,1420,99997,2,71,3874.0736132,198916128702wd,,0,1121419890221007
,,198916128701we,106291989011699278,0,1,1,,2,1,99,51,O,4,24,,5.5,1062919890116022,278,8,7,0,0,0,,,,7,12,12,6,1,1,1989,1062919890116,01,we,,,1062919890116022,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1720,34974,2,23,2103.0627578,198916128701we,,0,1062919890116022
,GROUPER GENUS (EPINEPHELUS),198916128701wd,112141989012086134,0,1,1,,2,1,86,86,Y,21,150,,1,1121419890120009,134,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1121419890120,01,wd,,,1121419890120009,,,,8,9,,MIAMI-DADE,12JUN91:15:13,1,8,1,,,,8835020400,,1,1,8,1410,33161,2,70,4976.8061057,198916128701wd,,0,1121419890120009
,,198916128701wd,112141989012086134,0,1,1,,1,3,86,86,Y,25,104,,4,1121419890120004,134,8,7,0,7,0,,,,6,12,12,6,1,1,1989,1121419890120,01,wd,,,1121419890120004,1,4,0,8,1,,MIAMI-DADE,12JUN91:15:13,1,2,1,,,,,,1,1,2,1130,33125,2,32,4976.8061057,198916128701wd,,0,1121419890120004
,GROUPER GENUS (EPINEPHELUS),198916128701wd,112141989012086134,0,1,1,,2,1,86,86,Y,21,150,,1,1121419890120010,134,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1121419890120,01,wd,,,1121419890120010,,,,8,9,,MIAMI-DADE,12JUN91:15:13,1,8,1,,,,8835020400,,1,1,8,1420,33161,2,56,4976.8061057,198916128701wd,,0,1121419890120010
DOLPHIN,KING MACKEREL,198916128701we,106291989012199214,0,1,1,,2,1,99,99,Y,2,2,,2,1062919890121011,214,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890121,01,we,,,1062919890121011,1,0,1,8,1,,,12JUN91:15:13,1,8,1,,,,8850030501,8835290101,1,1,8,1345,33461,2,68,2701.6873242,198916128701we,,0,1062919890121011
,DOLPHIN,198916128702we,106291989021299278,0,1,1,,2,1,99,99,Y,8,50,,3,1062919890212026,278,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212026,1,,,8,1,,,12JUN91:15:13,1,8,1,,,,8835290101,,1,1,8,1610,33411,2,30,2701.6873242,198916128702we,,0,1062919890212026
,,198916128702we,106291989021299278,0,1,1,,2,1,99,99,Y,16,104,,6,1062919890212022,278,8,7,2,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212022,1,0,1,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1505,33462,2,53,2701.6873242,198916128702we,,0,1062919890212022
DOLPHIN,YELLOWTAIL SNAPPER,198916128701we,106291989012199214,0,1,1,,2,1,99,99,Y,3,3,,3,1062919890121017,214,8,7,3,0,0,,,,6,12,12,6,1,1,1989,1062919890121,01,we,,,1062919890121017,1,0,2,8,1,,,12JUN91:15:13,1,8,1,,,,8835360401,8835290101,1,1,8,1625,33426,2,41,2701.6873242,198916128701we,,0,1062919890121017
,,198916128702we,106291989021299278,0,1,1,,2,1,99,99,Y,16,104,,6,1062919890212023,278,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890212,02,we,,,1062919890212023,1,0,2,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1515,33462,2,36,2701.6873242,198916128702we,,0,1062919890212023
DOLPHIN,SAILFISH,198916128702we,106291989021299278,0,1,1,,2,1,99,29,O,4,40,,4.5,1062919890212016,278,8,7,0,0,0,,,,5,12,34,6,1,1,1989,1062919890212,02,we,,,1062919890212016,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8850060101,8835290101,1,1,8,1355,38742,2,46,2103.0627578,198916128702we,,0,1062919890212016
DOLPHIN,YELLOWTAIL SNAPPER,198916128701we,106291989012199214,0,1,1,,2,1,99,99,Y,3,3,,3,1062919890121019,214,8,7,2,0,0,,,,6,12,12,6,1,1,1989,1062919890121,01,we,,,1062919890121019,1,0,2,8,1,,,12JUN91:15:13,1,8,1,,,,8835360401,8835290101,1,1,8,1700,33426,2,16,2701.6873242,198916128701we,,0,1062919890121019
,,198916128701we,106291989012199214,0,1,1,,2,1,99,99,Y,3,35,,3,1062919890121020,214,8,7,0,0,0,,,,6,12,12,6,1,1,1989,1062919890121,01,we,,,1062919890121020,,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1730,33435,2,41,2701.6873242,198916128701we,,0,1062919890121020
,,198916128702we,106291989020599278,0,1,1,,2,1,99,99,Y,1,1,,3,1062919890205018,278,8,7,1,0,0,,,,6,12,12,6,1,1,1989,1062919890205,02,we,,,1062919890205018,1,,,8,1,,,12JUN91:15:13,1,8,1,,,,,,1,1,8,1620,33411,2,28,2701.6873242,198916128702we,,0,1062919890205018
,SAILFISH,198916128701wd,1062919890124998,0,1,1,,2,1,99,19,O,0,1,,4,1062919890124009,8,8,7,0,0,0,,,,6,12,37,6,1,1,1989,1062919890124,01,wd,,,1062919890124009,,,,8,1,,,12JUN91:15:13,1,8,1,,,,8850060101,,1,1,8,1440,38459,2,45,2097.8421933,198916128701wd,,0,1062919890124009
