prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,DATE,TURTLE,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,19921.26128302we,10629199202089985,0,1,1,,2,1,99,119,O,30,30,8,5.5,1062919920208016,85,1,3,1,0,0,0,,1,5,12,36,6,1,1,1992,1062919920208,02,we,,,1062919920208016,1,,,8,,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.26128302we,,0,1062919920208016
,,19921.26128302wd,106291992021911109,,1,1,,2,1,11,11,Y,0,0,8,3,1062919920219014,109,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920219,02,wd,,,1062919920219014,,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920219014
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,11,Y,1,3,2,3.5,1062919920129015,109,1,3,0,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129015,,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.16128301wd,,0,1062919920129015
,,19921.26128302we,10629199202159985,,1,1,,2,1,99,99,Y,0,0,2,4,1062919920215017,85,1,3,0,0,0,1,,3,6,12,12,6,1,1,1992,1062919920215,02,we,,,1062919920215017,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.26128302we,,0,1062919920215017
,,19921.26128302wd,1062919920224117,0,1,1,,2,1,11,11,Y,20,200,1,3,1062919920224008,7,1,3,1,0,0,0,,2,6,12,12,6,1,1,1992,1062919920224,02,wd,,,1062919920224008,1,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920224008
,,19921.26128302wd,106291992022411109,0,1,1,,2,1,11,165,O,0,0,1,3,1062919920224003,109,1,3,1,0,0,0,,2,0,12,39,6,1,1,1992,1062919920224,02,wd,,,1062919920224003,1,,,8,,,,,,,,,,,,,,,,,,,,,,12475.353231,19921.26128302wd,,0,1062919920224003
,,19921.26128302we,1062919920201117,,1,1,,2,1,11,11,Y,8,52,1,3,1062919920201010,7,1,3,0,0,0,0,,2,6,12,12,6,1,1,1992,1062919920201,02,we,,,1062919920201010,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.26128302we,,0,1062919920201010
,,19921.16128301wd,106291992011385333,0,1,1,,2,1,85,111,Y,16,104,2,3,1062919920113007,333,5,3,1,0,0,1,,3,6,12,12,6,1,1,1992,1062919920113,01,wd,,,1062919920113007,2,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.16128301wd,,0,1062919920113007
,,19921.16128301wd,1062919920129117,0,1,1,,2,1,11,11,Y,10,150,8,5,1062919920129001,7,1,3,1,0,0,0,,1,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129001,2,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.16128301wd,,0,1062919920129001
,,19921.16128301wd,106291992011385333,0,1,1,,2,1,85,71,O,3,32,2,2,1062919920113004,333,5,3,3,0,0,1,,2,5,12,42,6,1,1,1992,1062919920113,01,wd,,,1062919920113004,2,,,8,,,,,,,,,,,,,,,,,,,,,,12475.353231,19921.16128301wd,,0,1062919920113004
,,19921.26128302we,123431992022211109,,1,1,,2,1,11,11,Y,0,2,1,3,1234319920222017,109,1,3,0,0,0,0,,2,6,12,12,6,1,1,1992,1234319920222,02,we,,,1234319920222017,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.26128302we,,0,1234319920222017
,,19921.26128302we,123431992022211109,0,1,1,,2,1,11,57,O,20,300,8,0.5,1234319920222013,109,1,3,3,0,0,0,,1,7,12,12,6,1,1,1992,1234319920222,02,we,,,1234319920222013,1,,,8,,,,,,,,,,,,,,,,,,,,,,10767.425132,19921.26128302we,,0,1234319920222013
,,19921.16128301we,11291199201189228,,1,1,,2,1,9,9,Y,5,10,2,4,1129119920118003,228,5,3,0,0,0,1,,2,6,12,12,6,1,1,1992,1129119920118,01,we,,,1129119920118003,,,,8,,,,,,,,,,,,,,,,,,,,,,28066.090613,19921.16128301we,,0,1129119920118003
,,19921.26128302wd,1062919920219117,,1,1,,2,1,11,9,O,1,9,1,2.5,1062919920219011,7,1,3,0,0,0,0,,2,4,12,25,6,1,1,1992,1062919920219,02,wd,,,1062919920219011,,,,8,,,,,,,,,,,,,,,,,,,,,,12475.353231,19921.26128302wd,,0,1062919920219011
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,11,Y,8,48,2,3.5,1062919920129013,109,1,3,1,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129013,2,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.16128301wd,,0,1062919920129013
,,19921.26128302we,1062919920215117,,1,1,,2,1,11,11,Y,1,15,1,2,1062919920215006,7,1,3,0,0,0,0,,3,6,12,12,6,1,1,1992,1062919920215,02,we,,,1062919920215006,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.26128302we,,0,1062919920215006
,,19921.26128302wd,1062919920224117,,1,1,,2,1,11,11,Y,2,7,8,4,1062919920224018,7,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920224,02,wd,,,1062919920224018,,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920224018
,,19921.16128301we,11291199201189228,1,1,1,,2,1,9,95,O,0,0,1,2,1129119920118011,228,5,3,0,0,0,0,,5,6,12,13,6,1,1,1992,1129119920118,01,we,,,1129119920118011,,,,8,,,,,,,,,,,,,,,,,,,,,,20648.740935,19921.16128301we,,0,1129119920118011
,,19921.26128302we,1062919920215117,,1,1,,2,1,11,11,Y,8,52,2,3,1062919920215003,7,1,3,0,0,0,1,,2,6,12,12,6,1,1,1992,1062919920215,02,we,,,1062919920215003,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.26128302we,,0,1062919920215003
,,19921.16128301we,1234319920125117,,1,1,,2,1,11,11,Y,32,100,8,3,1234319920125008,7,1,3,0,0,0,0,,1,6,12,12,6,2,1,1992,1234319920125,01,we,,,1234319920125008,,,,8,,,,,,,,,,,,,,,,,,,,,,14635.252115,19921.16128301we,,0,1234319920125008
,,19921.26128302wd,106291992022411109,,1,1,,2,1,11,11,Y,32,200,8,4,1062919920224004,109,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920224,02,wd,,,1062919920224004,,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920224004
,,19921.16128301wd,112911992011561166,0,1,1,,3,0,61,53,O,0,0,2,2,1129119920115009,166,2,3,1,0,1,1,,2,5,12,36,6,1,1,1992,1129119920115,01,wd,,,1129119920115008,2,,,8,,,,,,,,,,,,,,,,,,,,,,23924.042543,19921.16128301wd,,0,1129119920115008
,,19921.26128302wd,1062919920224117,,1,1,,2,1,11,11,Y,6,110,8,2,1062919920224012,7,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920224,02,wd,,,1062919920224012,,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920224012
,,19921.26128302wd,106291992022411109,0,1,1,,2,1,11,99,Y,2,5,1,2,1062919920224007,109,1,3,2,0,0,0,,2,6,12,12,6,1,1,1992,1062919920224,02,wd,,,1062919920224007,1,,,8,,,,,,,,,,,,,,,,,,,,,,16956.694615,19921.26128302wd,,0,1062919920224007
,,19921.26128302wd,1062919920219117,,1,1,,2,1,11,33,O,2,12,1,2.5,1062919920219012,7,1,3,0,0,0,0,,2,0,12,53,6,1,1,1992,1062919920219,02,wd,,,1062919920219012,,,,8,,,,,,,,,,,,,,,,,,,,,,12475.353231,19921.26128302wd,,0,1062919920219012
