prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,SOUTHERN KINGFISH,199716128302we,10542199702223143,,1,1,,2,1,31,31,Y,35,200,8,3,1054219970222003,43,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1054219970222,02,we,,,1054219970222003,,,,8,,,DUVAL,02APR97:14:41,1,8,1,,,,8835440601,0,1,,8,1100,32221,16827.731321,199716128302we,,0,1054219970222003
,,199716128301we,106291997012511109,,1,1,,2,1,11,11,Y,6,45,8,2.5,1062919970125022,109,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1062919970125,01,we,,,1062919970125022,,,,8,,,BROWARD,02APR97:14:41,1,8,1,,,,0,0,1,,8,1505,33065,4054.5085399,199716128301we,,0,1062919970125022
,,199716128301wd,1234119970102117,0,1,1,,2,1,11,11,Y,1,1,8,5,1234119970102012,7,1,3,1,0,0,0,8,88,6,12,12,6,1,1,1997,1234119970102,01,wd,,,1234119970102012,2,,,8,,,BROWARD,02APR97:14:41,1,8,1,,,,0,0,1,,8,2305,33325,5056.4605247,199716128301wd,,0,1234119970102012
,,199716128301wd,10629199701089918,,1,1,,2,1,99,99,Y,12,75,8,1,1062919970108007,18,2,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1062919970108,01,wd,,,1062919970108007,,,,8,,,PALM BEACH,02APR97:14:41,1,8,1,,,,0,0,1,,8,1200,33458,12306.812791,199716128301wd,,0,1062919970108007
,BLUEFISH,199716128301we,1268919970126975,,1,1,,2,1,9,95,Y,1,12,8,1,1268919970126009,75,2,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1268919970126,01,we,,,1268919970126009,,,,8,,,ORANGE,02APR97:14:41,1,8,1,,,,8835250101,0,1,,8,1050,32807,12359.628324,199716128301we,,0,1268919970126009
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,4,12,8,3.5,1038919970202004,142,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1038919970202,02,we,,,1038919970202004,,,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1050,32168,16827.731321,199716128302we,,0,1038919970202004
,,199716128302wd,103891997022712721,,1,1,,2,1,127,127,Y,55,350,8,3.5,1038919970227005,21,1,3,0,0,0,0,8,88,6,12,12,6,2,1,1997,1038919970227,02,wd,,,1038919970227005,,,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1140,32118,20986.207899,199716128302wd,,0,1038919970227005
,,199716128301wd,12948199701133143,,1,1,,2,1,31,31,Y,11,100,8,4,1294819970113007,43,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1294819970113,01,wd,,,1294819970113007,,,,8,,,DUVAL,02APR97:14:41,1,8,1,,,,0,0,1,,8,1600,32250,20986.207899,199716128301wd,,0,1294819970113007
,,199716128302we,1038919970202127142,,1,1,,2,1,127,127,Y,7,52,8,3,1038919970202002,142,1,3,0,0,0,0,8,88,6,12,12,6,2,1,1997,1038919970202,02,we,,,1038919970202002,,,,8,,,VOLUSIA,02APR97:14:41,1,8,1,,,,0,0,1,,8,1000,32114,16827.731321,199716128302we,,0,1038919970202002
YELLOWTAIL SNAPPER,MUTTON SNAPPER,199716128301wd,1234119970102117,,1,1,,2,1,11,11,Y,12,40,8,2,1234119970102001,7,1,3,0,0,0,0,8,88,6,12,12,6,1,1,1997,1234119970102,01,wd,,,1234119970102001,,,,8,,,BROWARD,02APR97:14:41,1,8,1,,,,8835360103,8835360401,1,,8,1921,33071,5056.4605247,199716128301wd,,0,1234119970102001
,,199716128301wd,123411997012111109,,1,1,,2,1,11,998,O,0,0,8,0.5,1234119970121008,109,1,3,0,0,0,0,8,88,0,12,99,6,1,1,1997,1234119970121,01,wd,,,1234119970121008,,,,8,,,,02APR97:14:41,1,8,1,,,,0,0,1,,8,2242,99997,3788.2601884,199716128301wd,,0,1234119970121008
,,199716128302wd,123411997022686279,,1,1,,2,1,86,53,O,0,0,8,8.5,1234119970226011,279,1,3,0,0,0,0,8,88,7,12,48,6,1,1,1997,1234119970226,02,wd,,,1234119970226011,,,,8,,,,02APR97:14:41,1,8,1,,,,0,0,1,,8,2138,78654,3788.2601884,199716128302wd,,0,1234119970226011
,,199716128302wd,1038919970204127142,,1,1,,2,1,127,1,O,0,0,8,3.5,1038919970204016,142,1,3,0,0,0,0,8,88,4,12,25,6,1,1,1997,1038919970204,02,wd,,,1038919970204016,,,,8,,,BARNSTABLE,02APR97:14:41,1,8,1,,,,0,0,1,,8,1540,02635,15722.70079,199716128302wd,,0,1038919970204016
