prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,TURTLE,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,2,1,1,1,Y,25,150,,1,1115019901128006,89,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128006,1,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8857042001,0,1,88,8,1528,06605,8,8,66,2156.383642,19906498311wd,,0,1115019901128006
STRIPED BASS,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,79,O,3,10,,2,1164319901101004,64,1,3,0,0,0,,,,5,9,36,4,1,6,1990,1164319901101,11,wd,,,1164319901101004,,,,8,9,,Putnam,08AUG91:10:50,8,8,1,,,,8835250101,8835020102,1,88,8,1145,10512,8,8,71,9512.7836799,19906498311wd,,0,1164319901101004
,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,1,Y,14,14,,3,1164319901101006,64,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1164319901101,11,wd,,,1164319901101006,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8835250101,0,1,88,8,1215,06896,8,8,65,5733.9859782,19906498311wd,,0,1164319901101006
BLUEBACK HERRING,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,2,1,1,1,Y,40,100,,4.5,1115019901128005,89,1,3,2,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128005,1,0,1,8,9,,Fairfield,08AUG91:10:50,8,8,1,,,,8857042001,8747010102,1,88,8,1501,06606,8,8,36,2156.383642,19906498311wd,,0,1115019901128005
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,2,1,1,27,O,2,30,,4.5,1115019901128009,89,1,3,3,0,0,,,,5,9,36,4,1,6,1990,1115019901128,11,wd,,,1115019901128009,1,,,8,9,,,08AUG91:10:50,8,8,1,,,,8857042001,0,1,88,8,1603,12570,8,8,34,3577.4784235,19906498311wd,,0,1115019901128009
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,2,1,1,79,O,2,6,,4.5,1115019901128010,89,1,3,2,0,0,,,,5,9,36,4,1,6,1990,1115019901128,11,wd,,,1115019901128010,1,,,8,9,,Putnam,21AUG91:15:40,8,8,1,,,,8857042001,0,1,88,8,1603,10541,8,8,49,3577.4784235,19906498311wd,,0,1115019901128010
,ATLANTIC HERRING,19906498312wd,11150199012209213,,C,5,,2,1,9,9,Y,0,40,,0.5,1115019901220005,213,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1115019901220,12,wd,,,1115019901220005,,,,8,9,,New Haven,08AUG91:10:50,8,8,1,,,,8747010201,0,1,88,8,1240,06460,8,8,52,5733.9859782,19906498312wd,,0,1115019901220005
WINTER FLOUNDER,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,1,Y,16,56,,2,1164319901101002,64,1,3,0,0,0,,,,4,9,9,4,1,6,1990,1164319901101,11,wd,,,1164319901101002,,,,8,1,,Fairfield,08AUG91:10:50,8,8,1,,,,8835250101,8857042001,1,88,8,1120,06896,8,8,51,5733.9859782,19906498311wd,,0,1164319901101002
,WINTER FLOUNDER,19906498311wd,1115019901128189,0,C,5,,2,1,1,1,Y,2,60,,8,1115019901128008,89,1,3,1,0,0,,,,4,9,9,4,1,6,1990,1115019901128,11,wd,,,1115019901128008,1,,,8,9,,Fairfield,08AUG91:10:50,8,8,1,,,,8857042001,0,1,88,8,1539,06604,8,8,28,2156.383642,19906498311wd,,0,1115019901128008
STRIPED BASS,BLUEFISH,19906498311wd,1164319901101164,,C,5,,2,1,1,49,O,10,30,,2,1164319901101003,64,1,3,0,0,0,,,,,9,30,4,1,6,1990,1164319901101,11,wd,,,1164319901101003,,,,8,1,,,08AUG91:10:50,8,8,1,,,,8835250101,8835020102,1,88,8,1145,99998,8,8,65,9512.7836799,19906498311wd,,0,1164319901101003
