prim2_common,prim1_common,strat_id,psu_id,id_code,MODE_FX,MODE_F,AREA_X,AREA,ST,CNTY,INTSITE,HRSF,FFDAYS12,FFDAYS2,CNTY_RES,ST_RES,TELEFON,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,SUB_REG,REG_RES,WAVE,ADD_HRS,COASTAL,CATCH,year,ASG_CODE,month,kod,MODE_ASG,new_list,ON_LIST,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,county,add_ph,DATE1,PRIM1,PRIM2,DIST,ZIP,TIME,GEAR,PVT_RES,SEP_FISH,AGE,F_BY_P,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,BLUEFISH,19814498107we,10068198107127456,1006819810712006,3,1,1,1,9,7,456,5,22,4,7,9,1,1,1,0,0,4,4,4,0,Y,2,1981,1006819810712,07,we,,,,1006819810712006,2,0,1,8,,3,27APR93:15:27,8835250101,,1,,1630,1,1,8,8,8,3433.1060716,19814498107we,,0,1006819810712006
,BLUEFISH,19814498107we,10067198107259218,1006719810725012,3,2,1,1,9,9,218,2,2,2,3,9,1,1,0,0,0,4,4,4,,Y,2,1981,1006719810725,07,we,,,,1006719810725012,,,,8,,1,27APR93:15:27,8835250101,,1,,1520,1,1,8,8,8,9128.8867585,19814498107we,,0,1006719810725012
,SUMMER FLOUNDER,19814498107we,10068198107127456,1006819810712005,3,1,1,1,9,7,456,4,15,5,11,9,1,0,0,0,1,4,4,4,,Y,3,1981,1006819810712,07,we,,,,1006819810712004,,,,8,,3,27APR93:15:27,8857030301,,1,,1600,1,1,8,8,8,3433.1060716,19814498107we,,0,1006819810712004
WEAKFISH,BLUEFISH,19814498107we,100691981071813,1006919810718006,3,1,1,1,9,1,3,4,96,12,1,9,1,1,1,0,0,4,4,4,0,Y,2,1981,1006919810718,07,we,,,,1006919810718006,2,0,3,8,,1,27APR93:15:27,8835250101,8835440104,1,,1405,1,1,8,8,8,9128.8867585,19814498107we,,0,1006919810718006
,ATLANTIC SILVERSIDE,19814498107we,10067198107251210,1006719810725011,3,2,1,1,9,1,210,3,1,1,81,36,1,0,0,0,1,4,5,4,,O,3,1981,1006719810725,07,we,,,,1006719810725010,,,,8,,3,27APR93:15:27,8805020302,,1,,1536,2,1,8,8,8,15144.983839,19814498107we,,0,1006719810725010
,BLUEFISH,19814498107we,10068198107127456,1006819810712001,3,1,1,1,9,7,456,3.6,48,5,11,9,1,1,1,0,0,4,4,4,0,Y,2,1981,1006819810712,07,we,,,,1006819810712001,2,0,5,8,,1,27APR93:15:27,8835250101,,1,,1500,1,1,8,8,8,3433.1060716,19814498107we,,0,1006819810712001
,WINTER FLOUNDER,19814498107we,10067198107259210,1006719810725004,3,2,1,1,9,9,210,2,25,10,9,9,8,1,1,0,0,4,4,4,0,Y,2,1981,1006719810725,07,we,,,,1006719810725004,2,0,1,8,,3,27APR93:15:27,8857042001,,1,,1219,1,2,8,8,8,3433.1060716,19814498107we,,0,1006719810725004
,BLUEFISH,19814498107we,10067198107259210,1006719810725010,3,2,1,1,9,9,210,4,90,30,9,9,1,1,0,0,0,4,4,4,0.5,Y,2,1981,1006719810725,07,we,,,,1006719810725010,,,,8,,1,27APR93:15:27,8835250101,,1,,1407,1,1,8,8,8,3433.1060716,19814498107we,,0,1006719810725010
,BLUEFISH,19814498107we,100681981071813,1006819810718009,3,1,1,1,9,1,3,7,150,24,1,9,1,1,1,6,0,4,4,4,0,Y,1,1981,1006819810718,07,we,,,,1006819810718009,2,6,34,8,,2,27APR93:15:27,8835250101,,1,,1515,1,1,8,8,1,9128.8867585,19814498107we,,0,1006819810718009
,SUMMER FLOUNDER,19814498107we,10068198107127456,1006819810712004,3,1,1,1,9,7,456,4,20,5,11,9,1,2,0,3,0,4,4,4,0,Y,1,1981,1006819810712,07,we,,,,1006819810712004,2,3,0,8,,3,27APR93:15:27,8857030301,,1,,1600,1,1,2,8,2,3433.1060716,19814498107we,,0,1006819810712004
,BLUEFISH,19814498107we,10067198107259210,1006719810725009,3,2,1,1,9,9,210,4,75,30,9,9,1,1,0,0,0,4,4,4,0.5,Y,2,1981,1006719810725,07,we,,,,1006719810725009,,,,8,,1,27APR93:15:27,8835250101,,1,,1707,1,1,8,8,8,3433.1060716,19814498107we,,0,1006719810725009
,BLUEFISH,19814498107we,10068198107127456,1006819810712002,3,1,1,1,9,7,456,3,4,2,11,9,1,0,0,0,1,4,4,4,,Y,3,1981,1006819810712,07,we,,,,1006819810712004,,,,8,,1,27APR93:15:27,8835250101,,1,,1500,1,1,8,8,8,3433.1060716,19814498107we,,0,1006819810712004
,BLUEFISH,19814498107we,10068198107127456,1006819810712003,3,1,1,1,9,7,456,3,2,2,97,17,1,0,0,0,1,4,,4,,O,3,1981,1006819810712,07,we,,,,1006819810712001,,,,8,,1,27APR93:15:27,8835250101,,1,,1500,1,1,8,8,8,5695.5834097,19814498107we,,0,1006819810712001
,,19814498107we,10067198107259210,1006719810725008,3,1,1,1,9,9,210,4,20,10,9,9,1,1,0,1,0,4,4,4,0.5,Y,1,1981,1006719810725,07,we,,,,1006719810725008,2,1,0,8,,1,27APR93:15:27,,,1,,1407,1,1,8,8,1,3433.1060716,19814498107we,,0,1006719810725008
,BLUEFISH,19814498107we,10067198107259210,1006719810725005,3,2,1,1,9,9,210,1.5,20,10,9,9,8,1,1,0,0,4,4,4,0,Y,2,1981,1006719810725,07,we,,,,1006719810725005,2,0,1,8,,3,27APR93:15:27,8835250101,,1,,1219,1,2,8,8,8,3433.1060716,19814498107we,,0,1006719810725005
,BLUEFISH,19814498108we,1006719810809164,1006719810809014,3,1,1,1,9,1,64,2,1,0,1,9,1,1,1,0,0,4,4,4,0,Y,2,1981,1006719810809,08,we,,,,1006719810809014,2,0,26,8,,3,27APR93:15:27,8835250101,,1,,1057,1,1,8,8,8,3433.1060716,19814498108we,,0,1006719810809014
,BLUEFISH,19814498107we,10067198107259210,1006719810725002,3,2,1,1,9,9,210,1.5,25,10,9,9,8,1,0,0,0,4,4,4,,Y,2,1981,1006719810725,07,we,,,,1006719810725002,,,,8,,3,27APR93:15:27,8835250101,,1,,1219,1,2,8,8,8,3433.1060716,19814498107we,,0,1006719810725002
,BLUEFISH,19814498107we,10068198107127456,1006819810712007,3,1,1,1,9,7,456,5.6,22,4,7,9,1,1,0,0,0,4,4,4,,Y,2,1981,1006819810712,07,we,,,,1006819810712007,,,,8,,3,27APR93:15:27,8835250101,,1,,1630,1,1,8,8,8,3433.1060716,19814498107we,,0,1006819810712007
,BLUEFISH,19814498107we,1006719810725910,1006719810725001,3,2,1,1,9,9,10,3,24,6,9,9,1,1,0,10,0,4,4,4,0,Y,1,1981,1006719810725,07,we,,,,1006719810725001,2,24,0,8,,1,27APR93:15:27,8835250101,,1,,1157,1,1,8,8,1,9128.8867585,19814498107we,,0,1006719810725001
,BLUEFISH,19814498208wd,10068198108289209,1006819810828009,3,5,5,2,9,9,209,2,20,1,9,9,1,1,0,0,0,4,4,4,,Y,2,1981,1006819810828,08,wd,,,,1006819810828009,,,,8,,3,27APR93:15:27,8835250101,,8,,1620,1,1,8,8,8,4318.5040682,19814498208wd,,0,1006819810828009
,BLUEFISH,19814498108we,100661981080211682,1006619810802006,3,3,5,2,9,11,682,1.5,25,7,11,9,1,1,0,10,0,4,4,4,0,Y,1,1981,1006619810802,08,we,,,,1006619810802006,2,18,0,8,,1,27APR93:15:27,8835250101,,8,,1430,1,1,8,8,1,2168.7188268,19814498108we,,0,1006619810802006
,ATLANTIC SILVERSIDE,19814498107we,1006819810725164,1006819810725012,3,3,5,3,9,1,64,1.5,2,2,1,9,1,1,0,10,0,4,4,4,0,Y,,1981,1006819810725,07,we,,,,1006819810725012,2,20,0,8,,3,27APR93:15:27,8805020302,,8,,1545,2,1,2,8,,2168.7188268,19814498107we,,0,1006819810725012
,BLUEFISH,19814498107we,10066198107261128,1006619810726016,3,1,5,3,9,1,128,1.5,10,2,1,9,1,1,0,0,0,4,4,4,,Y,2,1981,1006619810726,07,we,,,,1006619810726016,,,,8,,3,27APR93:15:27,8835250101,,8,,1530,1,1,8,8,8,5766.7861604,19814498107we,,0,1006619810726016
,BLUEFISH,19814498107we,10066198107199249,1006619810719009,3,3,5,3,9,9,249,2.5,24,0,9,9,1,1,0,8,0,4,4,4,0,Y,1,1981,1006619810719,07,we,,,,1006619810719009,2,8,0,8,,1,27APR93:15:27,8835250101,,8,,1510,1,1,8,8,1,2168.7188268,19814498107we,,0,1006619810719009
