prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,TURTLE,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,WINTER FLOUNDER,19902498304wd,111501990041611661,0,3,5,,1,1,11,11,Y,0,3,,4,1115019900416003,661,5,3,0,1,0,,,,4,9,9,4,1,2,1990,1115019900416,04,wd,,,1115019900416003,1,1,0,8,9,,New London,08AUG91:08:40,8,1,1,,,,8857042001,0,1,88,8,1404,06385,8,8,10,5617.2476059,19902498304wd,,0,1115019900416003
,WINTER FLOUNDER,19902498304wd,111501990041611661,,3,5,,2,1,11,11,Y,0,2,,1,1115019900416006,661,5,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900416,04,wd,,,1115019900416006,,,,8,9,,New London,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1430,06385,8,8,32,5617.2476059,19902498304wd,,0,1115019900416006
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,3,30,,3,1115019900311008,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311008,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1259,06040,8,8,37,4603.3765093,19902498303we,,0,1115019900311008
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,7,Y,0,12,,1.5,1115019900311001,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311001,,,,8,9,,Middlesex,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1158,06457,8,8,46,4603.3765093,19902498303we,,0,1115019900311001
,WINTER FLOUNDER,19902498304wd,111501990041611678,,3,5,,2,1,11,1,O,0,0,,1,1115019900416001,678,5,3,0,0,0,,,,4,9,23,4,1,2,1990,1115019900416,04,wd,,,1115019900416001,,,,8,9,,Androscoggin,21AUG91:15:40,8,8,1,,,,8857042001,0,1,88,8,1154,04210,8,8,35,6959.4500159,19902498304wd,,0,1115019900416001
,WINTER FLOUNDER,19902498304wd,111501990041611661,,3,5,,2,1,11,11,Y,0,0,,1,1115019900416007,661,5,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900416,04,wd,,,1115019900416007,,,,8,9,,New London,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1430,06385,8,8,7,5617.2476059,19902498304wd,,0,1115019900416007
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,3,25,,4,1115019900311002,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311002,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1206,06447,8,8,44,4603.3765093,19902498303we,,0,1115019900311002
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,7,Y,1,30,,1,1115019900311010,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311010,,,,8,9,,Middlesex,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1305,06426,8,8,10,4603.3765093,19902498303we,,0,1115019900311010
,WINTER FLOUNDER,19902498304wd,111501990041611661,0,3,5,,2,1,11,11,Y,0,3,,4,1115019900416005,661,5,3,1,0,0,,,,4,9,9,4,1,2,1990,1115019900416,04,wd,,,1115019900416005,1,,,8,9,,New London,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1404,06385,8,8,40,5617.2476059,19902498304wd,,0,1115019900416005
,WINTER FLOUNDER,19902498303we,111501990031111644,,C,5,,2,1,11,3,Y,6,100,,2,1115019900311005,644,3,3,0,0,0,,,,4,9,9,4,1,2,1990,1115019900311,03,we,,,1115019900311005,,,,8,9,,Hartford,08AUG91:08:40,8,8,1,,,,8857042001,0,1,88,8,1251,06040,8,8,31,4603.3765093,19902498303we,,0,1115019900311005
